miRNA_signature	Cancer_type	Expression	classification	score_details	Classification	Score_Details
(`hsa-let-7a-3p` + `hsa-let-7b-3p`)	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: -0.305299590630384 ( Common lymphoid progenitor_XCELL(-0.284607793876665), T cell CD4+ Th1_XCELL(0.27298216624514), Granulocyte-monocyte progenitor_XCELL(-0.293673962998859) ) Pró-tumoral: -0.3489460146374 ( Cancer associated fibroblast_XCELL(-0.3489460146374) ) Dualista: -0.131914475483858 ( Hematopoietic stem cell_XCELL(-0.387626302812745), Class-switched memory B cell_XCELL(0.255711827328887) )
(`hsa-let-7a-3p` + `hsa-let-7f-1-3p`)	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.180777739055619 ( Common lymphoid progenitor_XCELL(0.180777739055619) ) Pró-tumoral: -0.516819861942576 ( Endothelial cell_XCELL(-0.250594068791481), Cancer associated fibroblast_XCELL(-0.266225793151095) ) Dualista: -0.295768383438884 ( Mast cell activated_CIBERSORT(-0.258108909474946), T cell CD4+ Th2_XCELL(0.238057092597319), Hematopoietic stem cell_XCELL(-0.275716566561257) )
(`hsa-let-7b-3p` + `hsa-let-7b-5p`)	THYM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.491232264762223 ( Cancer associated fibroblast_XCELL(0.491232264762223) ) Dualista: 0 (  )
(`hsa-let-7d-5p` + `hsa-let-7d-3p`)	BLCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.349405558209181 ( Cancer associated fibroblast_XCELL(-0.349405558209181) ) Dualista: 0 (  )
(`hsa-let-7d-5p` + `hsa-let-7d-3p`)	HNSC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.320132740848613 ( T cell CD4+ Th2_XCELL(0.320132740848613) )
(`hsa-miR-100-5p` + `hsa-miR-103a-3p` + `hsa-miR-125b-2-3p` + `hsa-miR-125b-5p` + `hsa-miR-1301-3p` + `hsa-miR-133a-3p` + `hsa-miR-133b` + `hsa-miR-143-5p` + `hsa-miR-199a-5p` + `hsa-miR-218-5p` + `hsa-miR-218-5p` + `hsa-miR-224-3p` + `hsa-miR-24-2-5p` + `hsa-miR-24-3p` + `hsa-miR-26b-5p` + `hsa-miR-301a-5p` + `hsa-miR-301a-3p` + `hsa-miR-30d-5p` + `hsa-miR-542-3p` + `hsa-miR-542-5p` + `hsa-miR-582-5p` + `hsa-let-7c-3p` + `hsa-let-7c-5p`)	TGCT	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 2.05062164582991 ( Cancer associated fibroblast_XCELL(0.770130980664325), Endothelial cell_XCELL(0.666917963357592), Macrophage M2_CIBERSORT(0.613572701807996) ) Dualista: -0.43904461956184 ( T cell CD4+ Th2_XCELL(-0.577429536407865), Class-switched memory B cell_XCELL(-0.616185332306267), Hematopoietic stem cell_XCELL(0.754570249152292) )
(`hsa-miR-100-5p` + `hsa-miR-10b-3p` + `hsa-miR-125b-5p` + `hsa-miR-125b-2-3p` + `hsa-miR-133a-3p` + `hsa-miR-143-3p` + `hsa-miR-199a-5p` + `hsa-miR-202-5p` + `hsa-miR-218-5p` + `hsa-miR-218-5p` + `hsa-miR-329-3p` + `hsa-miR-376a-5p` + `hsa-miR-377-3p` + `hsa-miR-377-5p` + `hsa-miR-382-5p` + `hsa-miR-409-3p` + `hsa-miR-410-3p` + `hsa-miR-410-5p` + `hsa-miR-411-5p` + `hsa-miR-451a` + `hsa-miR-487b-3p` + `hsa-miR-542-5p` + `hsa-miR-654-3p` + `hsa-miR-654-5p` + `hsa-let-7c-3p` + `hsa-let-7c-5p`)	BRCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.535671478649119 ( Common lymphoid progenitor_XCELL(-0.19653179381521), T cell CD4+ Th1_XCELL(-0.339139684833909) ) Pró-tumoral: -0.983119737985398 ( Endothelial cell_XCELL(0.45298055111352), Cancer associated fibroblast_XCELL(0.530139186871878) ) Dualista: -0.749182430893385 ( T cell gamma delta_CIBERSORT(0.180932211744677), Hematopoietic stem cell_XCELL(0.568250219148708) )
(`hsa-miR-100-5p` + `hsa-miR-125b-5p` + `hsa-miR-133a-3p` + `hsa-miR-133a-5p` + `hsa-miR-133b` + `hsa-miR-143-3p` + `hsa-miR-218-5p` + `hsa-miR-218-5p` + `hsa-miR-30d-5p`)	LUSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.718861697693282 ( Endothelial cell_XCELL(0.404272292715975), Cancer associated fibroblast_XCELL(0.314589404977307) ) Dualista: -0.791156040852635 ( Mast cell activated_CIBERSORT(0.300075338034302), B cell memory_CIBERSORT(0.266694979878568), Hematopoietic stem cell_XCELL(0.48926814647605), T cell CD4+ Th2_XCELL(-0.264882423536285) )
(`hsa-miR-100-5p` + `hsa-miR-125b-5p` + `hsa-miR-143-3p` + `hsa-miR-218-5p` + `hsa-miR-218-5p`)	ESCA	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.618852635229163 ( Cancer associated fibroblast_XCELL(0.618852635229163) ) Dualista: 0.45419457267219 ( Mast cell activated_CIBERSORT(0.45419457267219) )
(`hsa-miR-100-5p` + `hsa-miR-125b-5p`)	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.323668417027717 ( T cell CD4+ Th1_XCELL(-0.323668417027717) ) Pró-tumoral: 0.255073944857945 ( Endothelial cell_XCELL(0.255073944857945) ) Dualista: 0 (  )
