Cancer_type	Phenotype	Genotype	signature
ACC	TMB	transcript	(ENST00000465413 + ENST00000625062 + ENST00000588977 + ENST00000566711 + ENST00000510775 + ENST00000480940 + ENST00000582933 + ENST00000541218 + ENST00000496275 + ENST00000455077 + ENST00000561449 + ENST00000564228 + ENST00000505335 + ENST00000556498)
ACC	TMB	transcript	(ENST00000488120 + ENST00000530993 + ENST00000458632 + ENST00000537100)
ACC	TMB	transcript	(ENST00000374832 + ENST00000426523 + ENST00000540719 + ENST00000489123)
ACC	TMB	transcript	(ENST00000462882 + ENST00000316609 + ENST00000587336 + ENST00000610404)
ACC	TMB	transcript	(ENST00000581524 + ENST00000450955)
ACC	MSI	transcript	(ENST00000458632 + ENST00000537100)
ACC	TMB	transcript	(ENST00000502943 + ENST00000514656)
ACC	TMB	transcript	(ENST00000447379 + ENST00000556155)
ACC	TMB	transcript	(ENST00000461085 + ENST00000490182)
ACC	TMB	transcript	(ENST00000563179 + ENST00000587303)
ACC	TMB	transcript	(ENST00000423422 + ENST00000399638)
ACC	Stemness	transcript	(ENST00000409468)
ACC	Stemness	transcript	(ENST00000233893)
ACC	TMB	transcript	(ENST00000495465)
ACC	TMB	transcript	(ENST00000588467)
ACC	TMB	transcript	(ENST00000598022)
ACC	MSI	transcript	(ENST00000447911)
ACC	TMB	transcript	(ENST00000482000)
ACC	TMB	transcript	(ENST00000447911)
ACC	TMB	transcript	(ENST00000577610)
ACC	TMB	transcript	(ENST00000453137)
ACC	MSI	transcript	(ENST00000434609)
ACC	MSI	transcript	(ENST00000474335)
ACC	TMB	transcript	(ENST00000474335)
ACC	TMB	transcript	(ENST00000509865)
ACC	TMB	transcript	(ENST00000446905)
ACC	TMB	transcript	(ENST00000616053)
ACC	Stemness	transcript	(ENST00000258400)
